"WindowEnd_Local","Window","Endpoint","UrlHash","Polls","AvailabilityPercent","FailedPolls","SlowPolls","P50Ms","P95Ms","MaxMs","Outages","LongestOutageSeconds","TotalOutageSeconds","SlowPeriods","BackendAddresses","FailureReasons"
"2026-09-21 12:26:14","Evening","ENDPOINT-01","b83b5c8fa601","4","100","0","0","165","221","221","0","0","0","0","1",""
"2026-09-21 12:34:04","Evening","ENDPOINT-01","b83b5c8fa601","49","100","0","0","171","267","324","0","0","0","0","3",""
"2026-09-21 12:35:12","Evening","ENDPOINT-01","b83b5c8fa601","56","100","0","0","169","267","324","0","0","0","0","3",""
"2026-09-21 15:16:14","Evening","ENDPOINT-01","b83b5c8fa601","939","100","0","0","199","337","1309","0","0","0","0","3",""
"2026-09-21 15:18:01","Evening","ENDPOINT-01","b83b5c8fa601","949","100","0","0","199","337","1309","0","0","0","0","3",""
"2026-09-21 15:18:20","Evening","ENDPOINT-01","b83b5c8fa601","951","100","0","0","199","337","1309","0","0","0","0","3",""
"2026-09-21 15:25:34","Evening","ENDPOINT-01","b83b5c8fa601","993","100","0","0","199","335","1309","0","0","0","0","3",""
"2026-09-21 15:25:55","Evening","ENDPOINT-01","b83b5c8fa601","995","100","0","0","200","335","1309","0","0","0","0","3",""
"2026-09-21 17:15:01","Evening","ENDPOINT-01","b83b5c8fa601","636","100","0","0","204","325","593","0","0","0","0","3",""
"2026-09-22 08:49:58","Morning","ENDPOINT-01","b83b5c8fa601","2254","99.96","1","0","257","586","1691","0","0","0","0","3","DNS resolution failed x1"
"2026-09-22 17:15:02","Evening","ENDPOINT-01","b83b5c8fa601","2946","100","0","1","191","318","4992","0","0","0","0","3",""
